variable,description,variable type,nmissing,min,max,task
right_magnitude,Reward magnitude of the right piggy-bank in the post-vigour test.,"Union{Missing, Int64}",46853,1,5,vigour
right_ratio,Fixed-ratio of the right piggy-bank in the post-vigour test.,"Union{Missing, Int64}",46853,1,16,vigour
rng_seed,Random-number-generator seed used to build the task sequence.,"Union{Missing, String}",47073,0.029118191575069896,0.9952102237804422,vigour
trial_number,Vigour trial index within the task.,"Union{Missing, Int64}",45957,1,54,vigour
vigour_bonus,Bonus (coins) selected/earned for the vigour task.,"Union{Missing, Float64}",47082,0.067947,1.3470119999999999,vigour
response_time,List of inter-press intervals (ms) during the trial.,"Union{Missing, String}",43917,"[1,145,162,153,150,157,147,160,150,142,144,148,144,149,140,127,134,123,124,126,132,122,107,122,123,131,132,118,128,120,1…",[],vigour/PIT
total_presses,Cumulative presses across the task so far.,"Union{Missing, Int64}",43917,0,5403,vigour/PIT
total_reward,Cumulative reward earned across the task so far.,"Union{Missing, Int64}",43917,0,3859,vigour/PIT
trial_duration,Duration of the active trial window (ms).,"Union{Missing, Int64}",44169,1,7490,vigour/PIT
trial_presses,Number of key presses made during the trial.,"Union{Missing, Int64}",40907,0,87,vigour/PIT
trial_reward,Reward earned on the trial (coins).,"Union{Missing, Int64}",43917,0,310,vigour/PIT
magnitude (timeline_variables),[within timeline_variables] Reward magnitude of the piggy-bank/cue.,"Union{Missing, Int64}",43917,1,5,vigour/PIT
ratio (timeline_variables),[within timeline_variables] Fixed-ratio (presses per reward).,"Union{Missing, Int64}",43917,1,16,vigour/PIT
trialDuration (timeline_variables),[within timeline_variables] Programmed trial duration (ms).,"Union{Missing, Int64}",46853,1,7490,vigour/PIT
pit_coin,Pavlovian coin/cue value shown in the background on the PIT trial.,"Union{Missing, Float64}",45065,-1,1,PIT
pit_trial_number,PIT trial index within the task.,"Union{Missing, Int64}",45065,1,72,PIT
button,Island/button clicked in the control home-base prediction trial.,"Union{Missing, String}",46419,banana,orange,control
control_bonus,Bonus (coins) earned in the control task.,"Union{Missing, Float64}",47091,0.53,30,control
control_bonus_adjusted,Control bonus after adjustment/capping.,"Union{Missing, Float64}",47094,1.224,1.7999999999999998,control
control_explore_n_warnings,Missed-response warnings during control explore trials.,"Union{Missing, Int64}",38540,0,3,control
control_instruction_fail,Cumulative failed control instruction-quiz attempts.,"Union{Missing, Int64}",38565,0,0,control
control_predict_homebase_n_warnings,Missed-response warnings during control home-base prediction trials.,"Union{Missing, Int64}",39288,0,3,control
control_reward_n_warnings,Missed-response warnings during control reward trials.,"Union{Missing, Int64}",40944,0,2,control
control_rule_used,Which transition rule governed the outcome (base vs control).,"Union{Missing, String}",44717,base,control,control
correct,Whether the prediction/response was correct.,"Union{Missing, Bool}",45649,FALSE,TRUE,control
destination_island,Island the ship arrived at (control feedback).,"Union{Missing, String}",44717,banana,orange,control
n_control_trials,Number of control trials completed.,"Union{Missing, Int64}",43395,1,144,control
probability_control,Probability that the controllable rule applied on the trial.,"Union{Missing, Float64}",44857,2.319522830243569e-16,1,control
responseTime,List of inter-press intervals (ms) during effort/press control trials.,"Union{Missing, String}",44037,"[0,100,109]",[],control
reward,Reward delivered on the control reward trial.,"Union{Missing, Float64}",46434,0,2,control
ship_color,Colour of the ship on the trial.,"Union{Missing, String}",44857,blue,yellow,control
current (timeline_variables),[within timeline_variables] Ocean-current setting.,"Union{Missing, Int64}",44095,1,3,control
island_viable (timeline_variables),[within timeline_variables] Whether the target island is viable.,"Union{Missing, Bool}",46385,FALSE,TRUE,control
left (timeline_variables),[within timeline_variables] Left-choice ship/island.,"Union{Missing, String}",44095,blue,yellow,control
left_viable (timeline_variables),[within timeline_variables] Whether the left option is viable.,"Union{Missing, Bool}",46385,FALSE,TRUE,control
near (timeline_variables),[within timeline_variables] Near island.,"Union{Missing, String}",44095,banana,orange,control
reward_amount (timeline_variables),[within timeline_variables] Reward amount available.,"Union{Missing, String}",46433,50p,£2,control
reward_number (timeline_variables),[within timeline_variables] Number of reward tokens available.,"Union{Missing, Float64}",46433,0.5,2,control
right (timeline_variables),[within timeline_variables] Right-choice ship/island.,"Union{Missing, String}",44095,blue,yellow,control
right_viable (timeline_variables),[within timeline_variables] Whether the right option is viable.,"Union{Missing, Bool}",46385,FALSE,TRUE,control
ship (timeline_variables),[within timeline_variables] Ship (prediction trials).,"Union{Missing, String}",46409,blue,yellow,control
target (timeline_variables),[within timeline_variables] Target island (reward trials).,"Union{Missing, String}",46385,banana,orange,control
dd_n_warnings,Missed-response warnings during the delay-discounting task.,"Union{Missing, Int64}",42693,0,1,discounting
delay,Delay until the larger-later reward (days).,"Union{Missing, Int64}",46430,1,186,discounting
sum_later,Amount available after the delay (larger-later option).,"Union{Missing, Int64}",46430,1,85,discounting
sum_today,Amount available immediately (smaller-sooner option).,"Union{Missing, Int64}",46430,1,80,discounting
honeypot,Whether a hidden bot-only item was answered (0/1).,"Union{Missing, Int64}",46611,0,0,questionnaire
item_order,Order of item presentation.,"Union{Missing, String}",46611,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[0,1]",questionnaire
key_event_times,Times of keyboard strokes during the questionnaire.,"Union{Missing, String}",46611,"[10.300000071525574,19.700000047683716,28.5,37.300000071525574,45.5,54.60000002384186,63.60000002384186,72.2000000476837…",[],questionnaire
mouse_event_times,Times of mouse clicks during the questionnaire.,"Union{Missing, String}",46611,"[0,1008,1290,1502,1732,2012,2276,2583,3023,3460,3885,4176,4686,4883,5206,5595,5836,6255,6648,6945,7412,7750,8117,8746,90…",[],questionnaire
question_order,Order of question presentation.,"Union{Missing, String}",46584,"[0,1,2,3,4]","[0,1]",questionnaire
radio_event_ids,Order of questionnaire items clicked.,"Union{Missing, String}",46611,"[""Q01"",""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[""Q10"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q06"",""Q07"",""Q07"",""Q08"",""Q09""]",questionnaire
radio_event_times,Times of questionnaire item clicks.,"Union{Missing, String}",46611,"[10.300000071525574,19.700000047683716,28.5,37.300000071525574,45.5,54.60000002384186,63.60000002384186,72.2000000476837…","[997.5,1471.2000000476837,1865,2676.0999999046326,3094.5]",questionnaire
responses,Questionnaire responses (item -> value).,"Union{Missing, String}",46611,"{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0""…","{""Q01"":""8"",""Q02"":""8"",""Q03"":""8"",""Q04"":""8"",""Q05"":""8"",""retired_check"":false}",questionnaire
straightlining,Max fraction of responses at the same scale position.,"Union{Missing, Float64}",46611,0.18181818181818182,1,questionnaire
zigzagging,Fraction of responses showing zig-zag adjacency.,"Union{Missing, Float64}",46611,0,1,questionnaire
bonus,Bonus amount (in currency units) revealed/paid on a bonus trial.,"Union{Missing, String}",47049,0.39,2.30,bonus
choices,Cards/coins chosen in the coin-lottery bonus game.,"Union{Missing, String}",47094,"[""1"",""20"",""18"",""28""]","[""9"",""26"",""1"",""25""]",bonus
end_rt,Time from start to the final lottery action.,"Union{Missing, Int64}",47094,1,200654,bonus
outcomes,Outcome (coin value) of each lottery flip.,"Union{Missing, String}",47094,"[-0.5,1,0.5,1]","[1,1,-1,0.01]",bonus
rts,Response times for each lottery flip.,"Union{Missing, String}",47094,"[1316,2337,3320,4311]","[5651,6547,7787,9648]",bonus
start_time,Timestamp when the coin-lottery game started.,"Union{Missing, Float64}",47094,67753.70000004768,3171746,bonus
avgSpeed,Average press speed (presses per second) in the keyboard test.,"Union{Missing, Float64}",47029,2.857142857142857,9,press-test
trialPresses,Number of presses during the max-press-rate/speed test.,"Union{Missing, Int64}",47047,1,63,press-test
exp_start_time,Module start time from jsPsych. Not in this export; superseded by/duplicates module_start_time.,"Union{Missing, String}",47105,,,admin
PIT_bonus,Bonus (coins) for the PIT task. Not in this export; PIT bonus appears under 'bonus'/'vigour_bonus' here.,"Union{Missing, Float64}",47105,,,PIT
chosen_later,Whether the larger-later option was chosen (delay discounting). Not stored as a column here; derivable from 'response'.,"Union{Missing, Bool}",47105,,,discounting
lvl2_attention,Open-text hidden attention-check response. Not present in this export.,"Union{Missing, String}",47105,,,open-text
